M,N,a1,a2,b1,b2,c1,c2,d1,d2
128,256,0,3,0,3,0,3,0,3
No.,a,b,c,d,period
1,0,1,1,1,384
2,0,1,1,3,384
3,0,1,3,1,192
4,0,1,3,3,192
5,0,3,1,1,192
6,0,3,1,3,192
7,0,3,3,1,384
8,0,3,3,3,384
9,1,0,0,1,1
10,1,0,0,3,64
11,1,0,1,1,128
12,1,0,1,3,64
13,1,0,2,1,64
14,1,0,2,3,64
15,1,0,3,1,128
16,1,0,3,3,64
17,1,1,0,1,256
18,1,1,0,3,128
19,1,1,2,1,256
20,1,1,2,3,128
21,1,2,0,1,128
22,1,2,0,3,64
23,1,2,1,1,128
24,1,2,1,3,128
25,1,2,2,1,128
26,1,2,2,3,128
27,1,2,3,1,128
28,1,2,3,3,64
29,1,3,0,1,256
30,1,3,0,3,128
31,1,3,2,1,256
32,1,3,2,3,128
33,2,1,1,1,192
34,2,1,1,3,192
35,2,1,3,1,384
36,2,1,3,3,192
37,2,3,1,1,384
38,2,3,1,3,192
39,2,3,3,1,192
40,2,3,3,3,192
41,3,0,0,1,32
42,3,0,0,3,64
43,3,0,1,1,64
44,3,0,1,3,128
45,3,0,2,1,32
46,3,0,2,3,64
47,3,0,3,1,64
48,3,0,3,3,128
49,3,1,0,1,128
50,3,1,0,3,256
51,3,1,2,1,128
52,3,1,2,3,256
53,3,2,0,1,64
54,3,2,0,3,128
55,3,2,1,1,128
56,3,2,1,3,128
57,3,2,2,1,128
58,3,2,2,3,128
59,3,2,3,1,64
60,3,2,3,3,128
61,3,3,0,1,128
62,3,3,0,3,256
63,3,3,2,1,128
64,3,3,2,3,256
